varOfWork,capacityOfMainConveyor,quantityOfVagonsToSilageAtOnce,quantityOfVehicleDischargeStations,numberOfVehicleSilages,capacityOfVehicleSilages,quantityOfSilages,yearsModelWorking,vesselsHandledQtt,primeCost,handlingTime,profit,timeAtTerminal
3,880,8,3,3,865,19,1,110.0,353.95,31.131052019907763,704633930.95,13.87272034065971
3,881,8,2,2,950,19,1,110.0,354.81,30.74032227323211,690660712.05,14.095837968438504
3,959,8,3,3,950,19,1,107.0,361.21,27.39634036428469,686017121.75,14.16813908052679
3,959,8,3,3,881,19,1,107.0,372.31,22.746633570547,659162993.35,13.83867222592571
3,999,8,2,2,948,18,1,106.0,361.42,34.49145671280593,665998416.95,13.773671523057532
3,959,8,3,3,923,19,1,106.0,364.06,28.801637180406956,678933485.3,14.155609084392083
3,998,9,2,2,865,19,1,105.0,362.75,28.785861953954797,670757918.15,14.043644759090423
3,959,8,3,3,865,19,1,105.0,367.08,21.902110492570927,671562098.2,14.251582321113808
3,999,9,2,2,867,17,1,104.0,361.64,34.37710213205388,657468432.0,13.79532994806892
3,959,8,2,2,901,18,1,102.0,370.41,26.61373422054387,644773821.8,13.805885295765785
3,959,8,3,2,923,19,1,102.0,376.39,18.674438233642263,645953347.2,13.814448695989471
3,959,8,2,3,950,19,1,101.0,375.35,21.46360913817208,645077125.9,13.968564783810706
3,998,9,2,2,820,17,1,101.0,377.85,34.59962462330021,620527437.25,13.614853699769306
3,998,9,3,2,865,18,1,101.0,378.86,30.416172035879725,632870031.05,13.749376940103021
3,880,8,3,2,831,18,1,100.0,374.17,24.003607835760562,643344057.25,13.824607288814265
3,959,8,3,2,831,18,1,100.0,374.25,26.624764892477252,643151573.75,13.733902637828315
3,1055,8,3,2,819,19,1,100.0,376.53,23.709790662905988,645624907.0,13.69181230917229
3,959,8,3,2,947,19,1,100.0,384.53,19.49012312369252,627992687.45,13.802982974217207
3,965,8,3,2,822,19,1,100.0,387.93,17.233637654978203,620770170.5,13.89466611301859
3,999,9,2,2,948,18,1,99.0,373.39,26.435001431437563,637984027.25,13.769720954360926
3,998,9,3,2,831,18,1,99.0,386.09,25.923269055781727,617304450.8,13.409413607177402
3,1001,8,3,2,948,18,1,99.0,387.64,25.11391884186235,614051966.95,13.43827196207875
3,881,8,2,2,820,17,1,98.0,383.62,25.194529437297003,608256005.0,13.552152093093834
3,1001,8,3,2,948,18,1,98.0,389.28,22.09504983512577,610648663.75,13.64316983818947
3,1001,8,3,3,881,19,1,97.0,395.47,18.406712878847387,608809066.1,13.603689439224338
3,1002,8,2,2,831,18,1,96.0,388.67,22.68924489393399,605158768.3,13.756383432796326
3,1055,8,3,2,819,19,1,96.0,402.79,16.468309900654447,590803413.35,13.443536865950735
3,930,8,2,3,923,17,1,95.0,385.88,23.947884505264884,607275475.15,13.630172456201255
3,1002,9,3,2,901,18,1,95.0,394.09,23.223538582444796,600866603.55,13.603343009383584
3,959,8,3,3,950,19,1,95.0,404.37,17.108425255804164,591247505.05,13.926759145418098
3,1087,8,2,2,923,19,1,93.0,401.05,14.033492576770573,587702262.5,13.207340310638788
3,1087,8,2,2,923,19,1,92.0,397.03,16.94603365396791,595544625.05,13.348962768616811
3,880,8,3,3,865,19,1,84.0,453.62,13.58348241319638,508280538.0,13.213720580762091
